,name,brand,category1,category2
0,Himmlisch ST381 Magnetic Sun Shade For Maruti Alto,Himmlisch,Home & Kitchen & Automotive,automotive
1,Mount Nano MN 110 250 ml Wheel Tire Cleaner,Mount Nano,Home & Kitchen & Automotive,automotive
2,Carmity RN-020 Maruti Ciaz Car Grill Cover,Carmity,Home & Kitchen & Automotive,automotive
3,Trigcars I20 Car Grill Cover,Trigcars,Home & Kitchen & Automotive,automotive
4,Autofurnish Car Cover For Santro Xing,Autofurnish,Home & Kitchen & Automotive,automotive
5,Rainfun Car Cover For 800,Rainfun,Home & Kitchen & Automotive,automotive
6,Galaxy Car Cover For Micra,Galaxy,Home & Kitchen & Automotive,automotive
7,Crokrok Nylon Car Mat For Datsun Go,Crokrok,Home & Kitchen & Automotive,automotive
8,CARBANAO Plastic Car Mat For Maruti Suzuki Swift,CARBANAO,Home & Kitchen & Automotive,automotive
9,Crokrok Nylon Car Mat For Volkswagen Vento,Crokrok,Home & Kitchen & Automotive,automotive
10,Crokrok Nylon Car Mat For Maruti Suzuki WagonR Stingray,Crokrok,Home & Kitchen & Automotive,automotive
11,"Bike World Brake Light, Tail Light LED Bulb for  Daewoo Cielo",Bike World,Home & Kitchen & Automotive,automotive
12,"Bike World Brake Light, Tail Light LED Bulb for  Hero CD",Bike World,Home & Kitchen & Automotive,automotive
13,"Bike World Brake Light, Tail Light LED Bulb for  Volkswagen Polo Cross",Bike World,Home & Kitchen & Automotive,automotive
14,"Bike World Brake Light, Tail Light LED Bulb for  Honda City",Bike World,Home & Kitchen & Automotive,automotive
15,"Bike World Brake Light, Tail Light LED Bulb for  Honda Dream CD110",Bike World,Home & Kitchen & Automotive,automotive
16,"Bike World Brake Light, Tail Light LED Bulb for  Universal For Bike Universal For Bike",Bike World,Home & Kitchen & Automotive,automotive
17,"Bike World Brake Light, Tail Light LED Bulb for  Honda CBR 250",Bike World,Home & Kitchen & Automotive,automotive
18,"Bike World Brake Light, Tail Light LED Bulb for  Volvo VNL",Bike World,Home & Kitchen & Automotive,automotive
19,CarSizzler Car Storage Bag,CarSizzler,Home & Kitchen & Automotive,automotive
