name,brand,category1,category2
Roadster Men's Zipper Solid Cardigan,Roadster,Clothing,Men's Clothing
Discountgod Men's Checkered Casual Shirt,Slim,Clothing,Men's Clothing
Silver Streak Men's Printed Casual Denim Shirt,Slim,Clothing,Men's Clothing
Reckler Slim Fit Men's Jeans,Slim,Clothing,Men's Clothing
Wrangler Skanders Fit Men's Jeans,Skanders,Clothing,Men's Clothing
Wrangler Regular Fit Men's Jeans,Regular,Clothing,Men's Clothing
NE Regular Fit Men's Jeans,Regular,Clothing,Men's Clothing
Roadster Skinny Fit Fit Men's Jeans,Skinny Fit,Clothing,Men's Clothing
Traditions Printed Protective Men's Gloves,Traditions,Clothing,Men's Clothing
Wake Up Competition Full Sleeve Striped Men's Sweatshirt,Wake Up Competition,Clothing,Men's Clothing
Mizuno Lightweight Hoody Solid Men's Wind Cheater,Mizuno,Clothing,Men's Clothing
Van Heusen Men's Printed Party Shirt,Slim,Clothing,Men's Clothing
Fashion Tree Men's Solid Formal Shirt,Slim,Clothing,Men's Clothing
Peter England Men's Solid Formal Shirt,Slim,Clothing,Men's Clothing
Lee Mark Men's Solid Formal Shirt,Slim,Clothing,Men's Clothing
Status Quo Men's Solid Casual Shirt,Regular Fit,Clothing,Men's Clothing
Parron Men's Solid Casual Shirt,Slim,Clothing,Men's Clothing
Parron Men's Printed Casual Shirt,Slim,Clothing,Men's Clothing
American-Elm Solid Men's Waistcoat,American-Elm,Clothing,Men's Clothing
Raymond Checkered Men's Waistcoat,Raymond,Clothing,Men's Clothing
Rainfun Solid Men's Raincoat,Rainfun,Clothing,Men's Clothing
Mode Men's Floral Print Crew Length Socks,Mode,Clothing,Men's Clothing
prored Men's Printed No Show Socks,prored,Clothing,Men's Clothing
BURDY Graphic Print Men's Polo Neck Dark Blue T-Shirt,BURDY,Clothing,Men's Clothing
DOUBLE HORSE Men's Solid No Show Socks,DOUBLE HORSE,Clothing,Men's Clothing
Adidas Solid Men's Track Top,Adidas,Clothing,Men's Clothing
I Know Men's Solid Casual Dark Blue Shirt,I Know,Clothing,Men's Clothing
Ennoble Slim Fit Men's Grey Trousers,Ennoble,Clothing,Men's Clothing
Candy House Solid Men's Polo Neck T-Shirt,Candy House,Clothing,Men's Clothing
Speedo Men's Swimsuit,Speedo,Clothing,Men's Clothing
Raymond Men's Printed Formal Blue Shirt,Raymond,Clothing,Men's Clothing
Selfcare Men's Brief,Selfcare,Clothing,Men's Clothing
RAA Men's Brief,RAA,Clothing,Men's Clothing
Dispowear Men's Brief,Dispowear,Clothing,Men's Clothing
Finger's Printed Men's Track Pants,Finger's,Clothing,Men's Clothing
TAMBAS Solid Men's Track Pants,TAMBAS,Clothing,Men's Clothing
GREENWICH Solid Men's Track Pants,GREENWICH,Clothing,Men's Clothing
