name,brand,category1,category2
Samsung Galaxy Xcover FieldPro,Samsung,Electronics,Mobiles
Samsung Galaxy A70s,Samsung,Electronics,Mobiles
Samsung Galaxy A20s,Samsung,Electronics,Mobiles
Samsung Galaxy M30s,Samsung,Electronics,Mobiles
Samsung Galaxy M10s,Samsung,Electronics,Mobiles
Samsung Galaxy Fold 5G,Samsung,Electronics,Mobiles
Samsung Galaxy Fold,Samsung,Electronics,Mobiles
Samsung Galaxy Tab Active Pro,Samsung,Electronics,Mobiles
Samsung Galaxy A90 5G,Samsung,Electronics,Mobiles
Samsung Galaxy A30s,Samsung,Electronics,Mobiles
Samsung Galaxy A50s,Samsung,Electronics,Mobiles
Samsung Galaxy Note10+ 5G,Samsung,Electronics,Mobiles
Samsung Galaxy Note10+,Samsung,Electronics,Mobiles
Samsung Galaxy Note10 5G,Samsung,Electronics,Mobiles
Samsung Galaxy Note10,Samsung,Electronics,Mobiles
Samsung Galaxy Watch Active2,Samsung,Electronics,Mobiles
Samsung Galaxy Watch Active2 Aluminum,Samsung,Electronics,Mobiles
Samsung Galaxy A10s,Samsung,Electronics,Mobiles
Samsung Galaxy A10e,Samsung,Electronics,Mobiles
Samsung Galaxy Tab S6,Samsung,Electronics,Mobiles
Samsung Galaxy Tab A 8.0 (2019),Samsung,Electronics,Mobiles
Samsung Galaxy Xcover 4s,Samsung,Electronics,Mobiles
Samsung Galaxy A2 Core,Samsung,Electronics,Mobiles
Samsung Galaxy Watch Active,Samsung,Electronics,Mobiles
Samsung Galaxy View2,Samsung,Electronics,Mobiles
Samsung Galaxy S10 5G,Samsung,Electronics,Mobiles
Samsung Galaxy S10+,Samsung,Electronics,Mobiles
Samsung Galaxy S10,Samsung,Electronics,Mobiles
Samsung Galaxy S10e,Samsung,Electronics,Mobiles
Samsung Galaxy M40,Samsung,Electronics,Mobiles
Samsung Galaxy M30,Samsung,Electronics,Mobiles
Samsung Galaxy M20,Samsung,Electronics,Mobiles
Samsung Galaxy M10,Samsung,Electronics,Mobiles
Samsung Galaxy A80,Samsung,Electronics,Mobiles
Samsung Galaxy A70,Samsung,Electronics,Mobiles
Samsung Galaxy A60,Samsung,Electronics,Mobiles
Samsung Galaxy A50,Samsung,Electronics,Mobiles
Samsung Galaxy A40,Samsung,Electronics,Mobiles
Samsung Galaxy A30,Samsung,Electronics,Mobiles
Samsung Galaxy A20e,Samsung,Electronics,Mobiles
Samsung Galaxy A20,Samsung,Electronics,Mobiles
Samsung Galaxy A10,Samsung,Electronics,Mobiles
Samsung Galaxy Tab S5e,Samsung,Electronics,Mobiles
Samsung Galaxy Tab A 10.1 (2019),Samsung,Electronics,Mobiles
Samsung Galaxy Tab A 8.0 & S Pen (2019),Samsung,Electronics,Mobiles
Samsung Galaxy Tab Advanced2,Samsung,Electronics,Mobiles
Samsung Galaxy Tab A 8.0 (2018),Samsung,Electronics,Mobiles
Samsung Galaxy Tab S4 10.5,Samsung,Electronics,Mobiles
Samsung Galaxy Tab A 10.5,Samsung,Electronics,Mobiles
Samsung Galaxy A8s,Samsung,Electronics,Mobiles
Samsung Galaxy A6s,Samsung,Electronics,Mobiles
Samsung Galaxy A9 (2018),Samsung,Electronics,Mobiles
Samsung Galaxy A7 (2018),Samsung,Electronics,Mobiles
Samsung Galaxy Note9,Samsung,Electronics,Mobiles
Samsung Galaxy Watch,Samsung,Electronics,Mobiles
Samsung Galaxy J6+,Samsung,Electronics,Mobiles
Samsung Galaxy J4 Core,Samsung,Electronics,Mobiles
Samsung Galaxy J4+,Samsung,Electronics,Mobiles
Samsung Galaxy J2 Core,Samsung,Electronics,Mobiles
Samsung Galaxy On6,Samsung,Electronics,Mobiles
Samsung Galaxy J7 (2018),Samsung,Electronics,Mobiles
Samsung Galaxy J3 (2018),Samsung,Electronics,Mobiles
Samsung Galaxy A8 Star (A9 Star),Samsung,Electronics,Mobiles
Samsung Galaxy S Light Luxury,Samsung,Electronics,Mobiles
Samsung Galaxy J8,Samsung,Electronics,Mobiles
Samsung Galaxy J6,Samsung,Electronics,Mobiles
Samsung Galaxy J4,Samsung,Electronics,Mobiles
Samsung Galaxy A6+ (2018),Samsung,Electronics,Mobiles
Samsung Galaxy A6 (2018),Samsung,Electronics,Mobiles
Samsung Galaxy J7 Duo,Samsung,Electronics,Mobiles
Samsung Galaxy J7 Prime 2,Samsung,Electronics,Mobiles
Samsung Galaxy S9+,Samsung,Electronics,Mobiles
Samsung Galaxy S9,Samsung,Electronics,Mobiles
Samsung Galaxy J2 Pro (2018),Samsung,Electronics,Mobiles
Samsung Galaxy A8+ (2018),Samsung,Electronics,Mobiles
Samsung Galaxy A8 (2018),Samsung,Electronics,Mobiles
Samsung Galaxy J2 (2017),Samsung,Electronics,Mobiles
Samsung Galaxy Tab Active 2,Samsung,Electronics,Mobiles
Samsung Galaxy Tab A 8.0 (2017),Samsung,Electronics,Mobiles
Samsung Galaxy C7 (2017),Samsung,Electronics,Mobiles
Samsung Gear Sport,Samsung,Electronics,Mobiles
Samsung Galaxy Note8,Samsung,Electronics,Mobiles
Samsung Galaxy S8 Active,Samsung,Electronics,Mobiles
Samsung Galaxy J7 V,Samsung,Electronics,Mobiles
Samsung Galaxy Note FE,Samsung,Electronics,Mobiles
Apple iPhone 11 Pro Max,Apple,Electronics,Mobiles
Apple iPhone 11 Pro,Apple,Electronics,Mobiles
Apple iPhone 11,Apple,Electronics,Mobiles
Apple iPad 10.2,Apple,Electronics,Mobiles
Apple Watch Edition Series 5,Apple,Electronics,Mobiles
Apple Watch Series 5,Apple,Electronics,Mobiles
Apple Watch Series 5 Aluminum,Apple,Electronics,Mobiles
Apple iPad Air (2019),Apple,Electronics,Mobiles
Apple iPad mini (2019),Apple,Electronics,Mobiles
Apple iPad Pro 12.9 (2018),Apple,Electronics,Mobiles
Apple iPad Pro 11,Apple,Electronics,Mobiles
Apple iPhone XS Max,Apple,Electronics,Mobiles
Apple iPhone XS,Apple,Electronics,Mobiles
Apple iPhone XR,Apple,Electronics,Mobiles
Apple Watch Series 4,Apple,Electronics,Mobiles
Apple Watch Series 4 Aluminum,Apple,Electronics,Mobiles
Apple iPad 9.7 (2018),Apple,Electronics,Mobiles
Apple iPhone X,Apple,Electronics,Mobiles
Apple iPhone 8 Plus,Apple,Electronics,Mobiles
Apple iPhone 8,Apple,Electronics,Mobiles
Apple Watch Edition Series 3,Apple,Electronics,Mobiles
Apple Watch Series 3,Apple,Electronics,Mobiles
Apple Watch Series 3 Aluminum,Apple,Electronics,Mobiles
Apple iPad Pro 12.9 (2017),Apple,Electronics,Mobiles
Apple iPad Pro 10.5 (2017),Apple,Electronics,Mobiles
Apple iPad 9.7 (2017),Apple,Electronics,Mobiles
Apple Watch Edition Series 2 42mm,Apple,Electronics,Mobiles
Apple Watch Series 2 42mm,Apple,Electronics,Mobiles
