name,brand,category1,category2
YELLOW CHIMES Butterfly Fairy Alloy,YELLOW CHIMES,Fashion Accesories,Jewellery
"Hotpiper Pearl, Crystal Acrylic Necklace",Hotpiper,Fashion Accesories,Jewellery
Aaradhi Divya Mantra Green Aventurine Gemstone Positive Energy Stone Necklace,Aaradhi,Fashion Accesories,Jewellery
Adorelabel Floral Fantasy Long Chain Glass Necklace,Adorelabel,Fashion Accesories,Jewellery
Radiant Bay Astonishing Yellow Gold Diamond 18 K Ring,Radiant Bay,Fashion Accesories,Jewellery
BlueStone The Aether Gold Diamond 18 K Ring,BlueStone,Fashion Accesories,Jewellery
"Joyeria Milan Alloy Garnet, Cubic Zirconia, Garnet Bracelet",Joyeria Milan,Fashion Accesories,Jewellery
Radiant Bay Pretty Me White Gold Diamond 18 K Ring,Radiant Bay,Fashion Accesories,Jewellery
Galz4ever Golden Heart Designer Charming Alloy Necklace,Galz4ever,Fashion Accesories,Jewellery
Trove Resin Necklace,Trove,Fashion Accesories,Jewellery
Joyeria Milan Multilayer Gold Plated Bead Resin Necklace,Joyeria Milan,Fashion Accesories,Jewellery
Jewels5 Jamie Gold Diamond Rhodium 14 K Ring,Jewels5,Fashion Accesories,Jewellery
Anuradha Art Antique Golden Polished Brooch,Anuradha Art,Fashion Accesories,Jewellery
Radiant Bay Sparkling Bloom White Gold Diamond 18 K Ring,Radiant Bay,Fashion Accesories,Jewellery
Galz4ever Stunning Golden Chocker Alloy Choker,Galz4ever,Fashion Accesories,Jewellery
Willmore Bone Necklace,Willmore,Fashion Accesories,Jewellery
Be You Sterling Silver Quartz Rhodium Tennis Bracelet,Be You,Fashion Accesories,Jewellery
Joyeria Milan Blue Trangle Ncklace Resin Necklace,Joyeria Milan,Fashion Accesories,Jewellery
Awari Metal Bangle Set,Awari,Fashion Accesories,Jewellery
"Aakshi Metal, Alloy Necklace",Aakshi,Fashion Accesories,Jewellery
WOAP Alloy Jewel Set,WOAP,Fashion Accesories,Jewellery
Radiant Bay Three Knot Yellow Gold Diamond 14 K Ring,Radiant Bay,Fashion Accesories,Jewellery
Fashionzaadi Hollow Out Alloy Necklace,Fashionzaadi,Fashion Accesories,Jewellery
Decon Metal Mangalsutra,Decon,Fashion Accesories,Jewellery
BlueStone The Cora Gold Diamond 18 K Ring,BlueStone,Fashion Accesories,Jewellery
Harp Funky Metal Necklace,Harp,Fashion Accesories,Jewellery
Aaradhi Stone Necklace,Aaradhi,Fashion Accesories,Jewellery
Karatcraft Valusha Gold Diamond 18 K Ring,Karatcraft,Fashion Accesories,Jewellery
BlueStone The Nabha Yellow Gold Diamond 14 K Ring,BlueStone,Fashion Accesories,Jewellery
Fashblush Forever New Live Like A Queen Alloy Necklace,Fashblush,Fashion Accesories,Jewellery
Radiant Bay Beauteous Black And White White Gold Diamond 18 K Ring,Radiant Bay,Fashion Accesories,Jewellery
Indian Charm Multicolor Beads Glass Necklace,Indian Charm,Fashion Accesories,Jewellery
Sukkhi Zinc Yellow Gold Bangle,Sukkhi,Fashion Accesories,Jewellery
"Johareez 9.40 Grams White Cubic Zircon, White Synthetic Pearl & Violet Glass Black & White Enamel Gold Plated Brass Peacock Shape Brooch Brooch",Johareez,Fashion Accesories,Jewellery
Rakam Gold Diamond Yellow Gold 18 K Ring,Rakam,Fashion Accesories,Jewellery
Voylla Artificial Simplicity Plain Crystal Yellow Gold Plated Alloy Necklace,Voylla,Fashion Accesories,Jewellery
Caratcents Gold Diamond Yellow Gold 14 K Ring,Caratcents,Fashion Accesories,Jewellery
Sukkhi Alloy Yellow Gold Bangle Set,Sukkhi,Fashion Accesories,Jewellery
"Chickraft Alloy, Metal, Glass Bangle",Chickraft,Fashion Accesories,Jewellery
The Fine World Cutwork Embedded Silver Zircon Metal Drop Earring,The Fine World,Fashion Accesories,Jewellery
Ela Crystal Necklace,Ela,Fashion Accesories,Jewellery
Adimani Felimq Scarf Fabric Necklace,Adimani,Fashion Accesories,Jewellery
VR Designers Metal Necklace,VR Designers,Fashion Accesories,Jewellery
Kundali Pukhraj Stone Weight - 3.8 Carat / 4.47 Ratti Gold Sapphire 18 K Ring,Kundali,Fashion Accesories,Jewellery
Karatcraft Ailey Band Gold Diamond 18 K Ring,Karatcraft,Fashion Accesories,Jewellery
Radiant Bay Classic Solitaire Yellow Gold Diamond 14 K Ring,Radiant Bay,Fashion Accesories,Jewellery
Pearlz Ocean 2.5 Inch Dyed Howlite Oval Multi- Colored Alloy Dangle Earring,Pearlz Ocean,Fashion Accesories,Jewellery
Jiya Fashion Pretties Stone Necklace,Jiya Fashion Pretties,Fashion Accesories,Jewellery
Voylla Alloy Cubic Zirconia Yellow Gold Kada,Voylla,Fashion Accesories,Jewellery
Voylla Artificial Beaded Plain Crystal Silver Plated Alloy Necklace,Voylla,Fashion Accesories,Jewellery
Pearl Paradise Complete Women - (A) Swarovski Crystal Silver Dangle Earring,Pearl Paradise,Fashion Accesories,Jewellery
Voylla Artificial Simplicity Plain Crystal Silver Plated Alloy Necklace,Voylla,Fashion Accesories,Jewellery
Jewel Touch Antique Metal Muse Diva Alloy Necklace,Jewel Touch,Fashion Accesories,Jewellery
Radiant Bay Vogue Twist White Gold Diamond 14 K Ring,Radiant Bay,Fashion Accesories,Jewellery
Crunchy Fashion Alloy Charm Bracelet,Crunchy Fashion,Fashion Accesories,Jewellery
Kuhuk Silk Dori Bangle Set,Kuhuk,Fashion Accesories,Jewellery
Fullcutdiamond FCDR3040R White Gold Diamond 18K White Gold 18 K Ring,Fullcutdiamond,Fashion Accesories,Jewellery
Voylla Alloy Necklace,Voylla,Fashion Accesories,Jewellery
Viva Fashions Fabric Bracelet,Viva Fashions,Fashion Accesories,Jewellery
Falconoverseas Splendid Beauty Brass Necklace,Falconoverseas,Fashion Accesories,Jewellery
Radiant Bay Three Knot Yellow Gold Diamond 18 K Ring,Radiant Bay,Fashion Accesories,Jewellery
CaratLane Jesyln Yellow Gold Diamond 18 K Ring,CaratLane,Fashion Accesories,Jewellery
Fashion Infinite Brass Cuff,Fashion Infinite,Fashion Accesories,Jewellery
BlueStone The Sylka Yellow Gold Diamond 14 K Ring,BlueStone,Fashion Accesories,Jewellery
Voylla Precious Classic Plain Crystal Yellow Gold Plated Alloy Necklace,Voylla,Fashion Accesories,Jewellery
Hotpiper Acrylic Necklace,Hotpiper,Fashion Accesories,Jewellery
"VR Designers Metal, Fabric Necklace",VR Designers,Fashion Accesories,Jewellery
Silvesto India Stone Pearl Silver Ring,Silvesto India,Fashion Accesories,Jewellery
Wowww Metal Necklace,Wowww,Fashion Accesories,Jewellery
bohocraft Bohemian Colorful Wooden Beads Adjustable Wood Necklace,bohocraft,Fashion Accesories,Jewellery
WearYourShine by PCJ The Brietta Gold Diamond 18 K Ring,WearYourShine by PCJ,Fashion Accesories,Jewellery
Etti ESJ17 Plastic Necklace,Etti,Fashion Accesories,Jewellery
"Diovanni Metal, Alloy Necklace",Diovanni,Fashion Accesories,Jewellery
Ciemme 0.11 CT Fashion Forever Love Promise Yellow Gold Diamond 18 K Ring,Ciemme,Fashion Accesories,Jewellery
Shining Diva Alloy Bracelet Set,Shining Diva,Fashion Accesories,Jewellery
Shining Diva Green Drop Kundan Alloy Jewel Set,Shining Diva,Fashion Accesories,Jewellery
JewelFox Gold Tanmaniya,JewelFox,Fashion Accesories,Jewellery
Voylla Pearl Yellow Gold Plated Alloy Necklace,Voylla,Fashion Accesories,Jewellery
Diovanni Eternal Solitaire Alloy Necklace,Diovanni,Fashion Accesories,Jewellery
Karatcraft Spiral Elegance Yellow Gold Diamond 18 K Ring,Karatcraft,Fashion Accesories,Jewellery
Solah Shringar Lac Bangle Set,Solah Shringar,Fashion Accesories,Jewellery
Ciemme 0.11 CT Fashion Twisted Marquise Shape Women's Promise Yellow Gold Diamond 18 K Ring,Ciemme,Fashion Accesories,Jewellery
The Fine World Style Symbol For Girls Silver  K Zircon Metal Drop Earring,The Fine World,Fashion Accesories,Jewellery
Nexessories Acrylic Bracelet,Nexessories,Fashion Accesories,Jewellery
Indian Charm Black Poth Beads Glass Necklace,Indian Charm,Fashion Accesories,Jewellery
Jocalia Style diva Metal Necklace,Jocalia,Fashion Accesories,Jewellery
Manirathnum Manirathnum Hematite Gemstone Silver Ring Sterling Silver NA Brass NA K Ring,Manirathnum,Fashion Accesories,Jewellery
Radiant Bay Wish Trio White Gold Diamond 18 K Ring,Radiant Bay,Fashion Accesories,Jewellery
Jacknjewel Exquisite White Gold Diamond 18 K Ring,Jacknjewel,Fashion Accesories,Jewellery
Voylla Artificial Classic Textured Alloy Necklace,Voylla,Fashion Accesories,Jewellery
DressBerry Crystal Enamel Bracelet Set,DressBerry,Fashion Accesories,Jewellery
Siyas Collection Lac Cubic Zirconia Bangle Set,Siyas Collection,Fashion Accesories,Jewellery
"imitzworld Fabric, Alloy Necklace",imitzworld,Fashion Accesories,Jewellery
BlueStone The Apolonius Yellow Gold Diamond 18 K Ring,BlueStone,Fashion Accesories,Jewellery
Shashvat Jewels The Stripe Solitaire Gold Diamond 18 K Ring,Shashvat Jewels,Fashion Accesories,Jewellery
ETTI ESJ70_ORANGE Plastic Necklace,ETTI,Fashion Accesories,Jewellery
Jewelz Metal Yellow Gold Bracelet,Jewelz,Fashion Accesories,Jewellery
G-Luck Gomed Stone Weight - 12.3 Carat / 14.47 Ratti Silver Garnet Ring,G-Luck,Fashion Accesories,Jewellery
ETTI ESJ87_RED Plastic Necklace,ETTI,Fashion Accesories,Jewellery
A Bit of Me Au Fait? Alloy Necklace,A Bit of Me,Fashion Accesories,Jewellery
ETTI ESJ86_MULTI Glass Necklace,ETTI,Fashion Accesories,Jewellery
Radiant Bay Five Stone White Gold Diamond 18 K Ring,Radiant Bay,Fashion Accesories,Jewellery
Karatcraft Celebra Gold Diamond 18 K Ring,Karatcraft,Fashion Accesories,Jewellery
Wow Crystal Necklace,Wow,Fashion Accesories,Jewellery
FashBlush Chic Bead Glam Alloy Necklace,FashBlush,Fashion Accesories,Jewellery
Lamika Creations Alloy Bracelet,Lamika Creations,Fashion Accesories,Jewellery
Radiant Bay Ribbon Ripples White Gold Diamond 18 K Ring,Radiant Bay,Fashion Accesories,Jewellery
SP Jewellery Black Silver Pearl Alloy Hoop Earring,SP Jewellery,Fashion Accesories,Jewellery
Vaishali Bindi and Bangles Brass Bangle Set,Vaishali Bindi and Bangles,Fashion Accesories,Jewellery
Hotpiper Beautiful Yellow Gold Plated Acrylic Necklace,Hotpiper,Fashion Accesories,Jewellery
Zephyrr Alloy Necklace,Zephyrr,Fashion Accesories,Jewellery
The Fine World Cutwork Studded Brass Zircon Metal Drop Earring,The Fine World,Fashion Accesories,Jewellery
SP Jewellery Alloy Dangle Earring,SP Jewellery,Fashion Accesories,Jewellery
Diti Jewellery Certified designer jewellery RD0578 Platinum Ring,Diti Jewellery,Fashion Accesories,Jewellery
Being Women Elegant Multicolor Traditional Ethinic Alloy Jewel Set,Being Women,Fashion Accesories,Jewellery
ETTI ESJ69_MULTI Glass Necklace,ETTI,Fashion Accesories,Jewellery
Hawai Durable Multicolor Alloy Necklace,Hawai,Fashion Accesories,Jewellery
JANKI JEWELLERS Alloy Pearl Rhodium Bangle Set,JANKI JEWELLERS,Fashion Accesories,Jewellery
The V Collection A1E-974 Yellow Gold Amethyst Silver Stick-on Earring,The V Collection,Fashion Accesories,Jewellery
Joyeria Milan Orange And Black Beaded Resin Necklace,Joyeria Milan,Fashion Accesories,Jewellery
Voylla Artificial Classic Textured Silver Plated Alloy Necklace,Voylla,Fashion Accesories,Jewellery
Dev Jewellery Metal Yellow Gold Kada,Dev Jewellery,Fashion Accesories,Jewellery
Karatcraft Einser Yellow Gold Diamond 18 K Ring,Karatcraft,Fashion Accesories,Jewellery
American Diamond Alloy Jewel Set,American Diamond,Fashion Accesories,Jewellery
WhiteGems Mia Band Gold Diamond 18 K Ring,WhiteGems,Fashion Accesories,Jewellery
Caratcents White Gold 14 K Ring,Caratcents,Fashion Accesories,Jewellery
Sukkhi Copper Yellow Gold Bangle Set,Sukkhi,Fashion Accesories,Jewellery
Vijisan Gemstone Bead Strand Garnet Stone Necklace,Vijisan,Fashion Accesories,Jewellery
Beautywear Wood Necklace,Beautywear,Fashion Accesories,Jewellery
Jewel Touch Pretty Play Dew Drops Acrylic Necklace,Jewel Touch,Fashion Accesories,Jewellery
Ratnam Gold Diamond 18 K Ring,Ratnam,Fashion Accesories,Jewellery
Gift Island Acrylic Necklace,Gift Island,Fashion Accesories,Jewellery
"DressVilla Acrylic, Alloy Bracelet Set",DressVilla,Fashion Accesories,Jewellery
Karatcraft Golden Ribbon Yellow Gold Diamond 18 K Ring,Karatcraft,Fashion Accesories,Jewellery
Indian Charm Red & Blue Poth Beads Glass Necklace,Indian Charm,Fashion Accesories,Jewellery
dgold Garnet Stone Necklace,dgold,Fashion Accesories,Jewellery
Diti Jewellery Platinum Ring,Diti Jewellery,Fashion Accesories,Jewellery
Radiant Bay Black Bejewel Yellow Gold Diamond 14 K Ring,Radiant Bay,Fashion Accesories,Jewellery
Joyeria Milan Blue Resine Bead Chain Resin Necklace,Joyeria Milan,Fashion Accesories,Jewellery
Indian Charm Glass Necklace,Indian Charm,Fashion Accesories,Jewellery
Voylla Artifictial Enamel Textured Alloy Jewel Set,Voylla,Fashion Accesories,Jewellery
