name,brand,category1,category2
Easy Spirit Womens Garima Closed Toe Mary Jane Flats,Easy Spirit,footware,Women's footware
Rampage Womens Ram-Saddie Closed Toe Ankle Fashion Boots,Rampage,footware,Women's footware
SAS Womens Me Too Leather Low Top Walking Shoes,SAS,footware,Women's footware
"City Classified Women's Pointy Toe T Strap Flat Sandal (Blue, 8 B(M) US)",City Classified,footware,Women's footware
Womens Scalloped Pointed Toe Pump,Brinley Co.,footware,Women's footware
Franco Sarto Womens SHEONA ankle boot,FRANCO SARTO,footware,Women's footware
Qupid BA39 Women New Metallic Multiple Color Lace Up Platform Stelitto Heel Ankle Bootie,Qupid,footware,Women's footware
Silent D Womens Cesto Square Toe Knee High Fashion Boots,Silent D,footware,Women's footware
Women's Dyeables Sienna,Dyeables,footware,Women's footware
Womens Wide Calf Faux Leather Faux Lace-up Over-the-knee Boots,Brinley Co.,footware,Women's footware
Womens Ladies Cowboy Boots Western Cowgirl Country Wedding Shoes Wide Calf Size,SheSole,footware,Women's footware
"Ayala2 by Blossom, Glitter Peep Toe T-Strap High Heel Dress Sandal Platform Pump",Blossom,footware,Women's footware
Qupid Milia 01 Women's Crushed Velvet Pointed Toe Pumps,Qupid,footware,Women's footware
Picotee Women Western Cowboy Cowgirl Stitched Ankle High Short Boots Red,City Classified,footware,Women's footware
Women's Fergalicious Bata Over The Knee High Boot,Fergie Shoes,footware,Women's footware
New Balance WL574MIC: Classic 574 Miami Palms Womens Lifestyle Sneakers,New Balance,footware,Women's footware
Stuart Weitzman Womens Leather Flats Loafers,Stuart Weitzman,footware,Women's footware
"SLICK-101, 4'' Steel Stiletto Heel D-Orsay Pointed Toe Pump Shoes",The Highest Heel,footware,Women's footware
Dyeables Caitlyn - Color - Silver / Size - 8.5 M,Dyeables,footware,Women's footware
Ll Gisele-7 Thigh High Stretchy Suede Material Pointy Toe Stiletto Heel Boots Black,Unknown,footware,Women's footware
Top Moda Women's Vision-75 Ankle Wrap Adjustable Buckle Stacked Chunky Heel Sandal,Top Moda,footware,Women's footware
Women's Pleaser Flamingo 1018G Open Toe Bootie,Pleaser,footware,Women's footware
Lug Combat Cap Toe Booties Women's Vegan Leatherette Ankle Boots,Fourever Funky,footware,Women's footware
Steve Madden Women's Fiona Nubuck Black Pump - 7.5M,Steve Madden,footware,Women's footware
Soda Sansa-S Womens Open Toe Slip On Sandals,Soda,footware,Women's footware
FLORAL Nikki Women's Wide Width Wedge Sandal with Swirly Rhinestone Strip Vamp GOLD 6.5,Floral,footware,Women's footware
Women's Shoes 5 Flame Heel Pump Open Toe On Tractor Outsole Pewter Leop Glitter,The Highest Heel,footware,Women's footware
Women's Pleaser Flamingo-801T Platform Slide,Pleaser,footware,Women's footware
Women's Pleaser Delight 2019-3 Open-Toe Fringe Boot,Pleaser,footware,Women's footware
Steve Madden Womens Winny Nubuck Open Toe Casual Platform Sandals,Steve Madden,footware,Women's footware
Sorel Women's Out N About Moccasins Black 9.5 B(M) US,SOREL,footware,Women's footware
"Womens I35 Fayena Ankle Strap Closed Heel Ballet Flats, Jade, 6 US",I35,footware,Women's footware
Women's Jambu JSport Nadine Cut-Out Wedge,Jambu,footware,Women's footware
Steve Madden Women's Gonzo Mauve Ankle-High Pump - 5.5M,Steve Madden,footware,Women's footware
Women's Dr. Comfort Ortho Sandals,Dr. Comfort,footware,Women's footware
Ugg Girl's Bailey Button K Black Mid-Calf Wool Snow Boot - 4M,Ugg,footware,Women's footware
"CUTIEPIE-06, Satin Bow Tie Pump Shoes - Choice Of Colors",PleaserUSA,footware,Women's footware
Indigo Rd. Womens Taylin Closed Toe Ankle Fashion Boots,Indigo Rd.,footware,Women's footware
Skechers Women's Go Run 600-Reset Black / Turquoise Ankle-High Running Shoe - 9.5M,Skechers,footware,Women's footware
Rock Candy Womens Tavin Closed Toe Ankle Fashion Boots,Rock Candy,footware,Women's footware
2 Inch Heel Two-Tone Button Snap Spat Sexy Spectator Ankle Boot Red White Black,Bordello,footware,Women's footware
Charles Albert Women's Allstar Riding Knee-High Boot in Black Size: 7,Charles Albert,footware,Women's footware
Womens Caviar Open Toe Casual Strappy Sandals,Not Rated,footware,Women's footware
Material Girl Womens Landrey Velvet Lace-Up Booties,Material Girl,footware,Women's footware
Women's Highway Strappy Sandal,Aerosoles,footware,Women's footware
Women's Spring Step Saibara Rhinestone Slingback,Spring Step,footware,Women's footware
"MOZO Women's Fresco Platform Wedge Buckle Shoe Heels, 2 Colors",Mozo,footware,Women's footware
Women's Alegria by PG Lite Kayla Pro Clog,Alegria by PG Lite,footware,Women's footware
Cliffs by White Mountain Womens Felisa Padded Insole Fashion Knee-High Boots,Cliffs by White Mountain,footware,Women's footware
Women's Aerosoles East Coast Mule,Aerosoles,footware,Women's footware
Unique Bargains Women's Round Toe Stacked High Heel Chelsea Booties Brown (Size 10),Unique Bargains,footware,Women's footware
Ellie Shoes E-711-Starla 7 Heel With Blacklight Reflective Stars Yellow / 10,Ellie Shoes,footware,Women's footware
Naturalizer Womens Demi Leather Almond Toe Knee High Fashion Boots,Naturalizer,footware,Women's footware
Palladium Pallaphoenix OG CVS Sneaker,Palladium,footware,Women's footware
Skechers Good Luck Running Women's Shoes Size 5,Skechers,footware,Women's footware
touch ups women's jasmine champange shimmer sandal,Dyeables,footware,Women's footware
"Steve Madden Women's Union Wedge Sandal, Denim, Size 9.0",Steve Madden,footware,Women's footware
women's ros hommerson whitney sandal,Ros Hommerson,footware,Women's footware
Women's Jambu Bloom Slide,Jambu,footware,Women's footware
Ahnu Women's Yoga Flex Dark Orchid Ankle-High Cross Trainer Shoe - 7.5M,Ahnu,footware,Women's footware
Madden Girl Womens Writtem Lace Closed Toe Oxfords,Madden Girl,footware,Women's footware
Toms Women's Viv Specchio Rose Gold Sandal - 8M,Toms,footware,Women's footware
Delicious Mally S Womens Studded Open Toe Chunky Heels,Delicious,footware,Women's footware
Inc International Concepts Womens Yaffa Open Toe Casual Ankle Strap Sandals,INC International Concepts,footware,Women's footware
