name,brand,category1,category2
FabHomeDecor Fabric Double Sofa Bed,b'FabHomeDecor',Home & Kitchen & Automotive,Home Furnishing
FabHomeDecor Fabric Double Sofa Bed,b'FabHomeDecor',Home & Kitchen & Automotive,Home Furnishing
FabHomeDecor Fabric Double Sofa Bed,b'FabHomeDecor',Home & Kitchen & Automotive,Home Furnishing
FabHomeDecor Fabric Double Sofa Bed,b'FabHomeDecor',Home & Kitchen & Automotive,Home Furnishing
OM SHIVAKRITI Square wall Clock Showpiece  -  38.1 cm,b'OM SHIVAKRITI',Home & Kitchen & Automotive,Home Furnishing
Elegance Polyester Multicolor Abstract Eyelet Door Curtain,b'Elegance',Home & Kitchen & Automotive,Home Furnishing
SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet,b'SANTOSH ROYAL FASHION',Home & Kitchen & Automotive,Home Furnishing
Jaipur Print Cotton Floral King sized Double Bedsheet,b'Jaipur Print',Home & Kitchen & Automotive,Home Furnishing
Jaipur Print Cotton Floral King sized Double Bedsheet,b'Jaipur Print',Home & Kitchen & Automotive,Home Furnishing
Redbag Eight Armed Goddess Sherawali Maa Showpiece  -  10.8 cm,b'Redbag',Home & Kitchen & Automotive,Home Furnishing
First Choice Cotton Embroidered Diwan Set,b'First Choice',Home & Kitchen & Automotive,Home Furnishing
First Choice Cotton Embroidered Diwan Set,b'First Choice',Home & Kitchen & Automotive,Home Furnishing
First Choice Cotton Embroidered Diwan Set,b'First Choice',Home & Kitchen & Automotive,Home Furnishing
First Choice Cotton Embroidered Diwan Set,b'First Choice',Home & Kitchen & Automotive,Home Furnishing
SANTOSH ROYAL FASHION Cotton Embroidered Diwan Set,b'SANTOSH ROYAL FASHION',Home & Kitchen & Automotive,Home Furnishing
First Choice Cotton Embroidered Diwan Set,b'First Choice',Home & Kitchen & Automotive,Home Furnishing
House This Queen Cotton Duvet Cover,b'House This',Home & Kitchen & Automotive,Home Furnishing
Skipper Blends Aqua Striped Eyelet Window Curtain,b'Skipper',Home & Kitchen & Automotive,Home Furnishing
Pure Source Psi-As-Hanggnrlx Relaxing Liquid Air Freshener,b'Pure Source',Home & Kitchen & Automotive,Home Furnishing
Kings Multicolor Tassels,b'Kings',Home & Kitchen & Automotive,Home Furnishing
Eshoppee Laughing Buddha For Success And Wealth Showpiece  -  12 cm,b'Eshoppee',Home & Kitchen & Automotive,Home Furnishing
